name,shortname
Ammersee,Ammer
Arendsee,Arend
Bleilochtalsperre,Blei
Bodensee,Boden
Borgwallsee,Borgw
Breiter Luzin,Luzin
Brombachsee,Bromb
Chiemsee,Chiem
Conventer See,Conve
Dobersdorfer See,Dober
Drewitzer See,Drewi
Edertalsperre,Eder
Goitschesee,Goits
Großer Müggelsee,Muegg
Großer Plöner See,Ploen
Hohenwartetalsperre,Hohen
Kochelsee,Koche
Königssee,Koenig
Krakower Obersee,KrakO
Krakower Untersee,KrakU
Kummerower See,Kumme
Laacher See,Laach
Langbürgner See,Langb
Muldestausee,Mulde
Müritz (Außenmüritz),Mueritz
Müritz (Binnenmüritz),MuerBin
Oberhavel,Ohvl
Oleftalsperre,Oleft
Ostersee,Oster
Plauer See,Plaue
Putzarer See,Putz
Rappbodetalsperre,Rappb
Ratzeburger See,Ratz
Sacrower See,Sacro
Schaalsee (Zarrentiner Becken),Schaal
Scharmützelsee,Scharm
Schluensee,Schlue
Schöhsee,Schöh
Schweriner See (Außensee),SchwAu
Schweriner See (Innensee),SchwIn
Selenter See,Selen
Sorpetalsperre,Sorpe
Staffelsee,Staff
Starnberger See,Starn
Stechlinsee,Stech
Steinhuder Meer,Stein
Suhrer See,Suhre
Tegernsee,Teger
Tollensesee,Tolle
Unterbacher See,Unterb
Walchensee,Walch
Wittensee,Witten
Wörthsee,Woerth
Zeuthener See,Zeuth
